func,year,min,max,median,mean,sd,min,max,median,mean,sd
mean_doc_dt_epi_g,2020,-406738,257709,-2531,-604,87244,-406.7,257.7,-2.5,-0.6,87.2
mean_doc_epi_outflow_g,2020,618,49531,13896,14606,12266,0.6,49.5,13.9,14.6,12.3
mean_doc_epi_process_g,2020,-130109,215788,-5585,-1104,50635,-130.1,215.8,-5.6,-1.1,50.6
mean_doc_epi_process_mgL,2020,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0
mean_doc_hypo_process_g,2020,-55207,48105,416,105,11758,-55.2,48.1,0.4,0.1,11.8
mean_doc_hypo_process_mgL,2020,-4,2,0,0,1,0.0,0.0,0.0,0.0,0.0
mean_doc_inflow_g,2021,591,14187,1807,2706,1978,0.6,14.2,1.8,2.7,2.0
mean_doc_fc_inflow_g,2021,27,7341,121,427,821,0.0,7.3,0.1,0.4,0.8
mean_doc_inflow_g_comb,2021,630,18561,1949,3133,2627,0.6,18.6,1.9,3.1,2.6
mean_doc_hypo_outflow_g,2021,718,22701,1806,2476,2206,0.7,22.7,1.8,2.5,2.2
mean_doc_dt_hypo_g,2021,-592307,583548,-232,1276,78281,-592.3,583.5,-0.2,1.3,78.3
mean_doc_entr_g,2021,-578460,531774,0,-584,77021,-578.5,531.8,0.0,-0.6,77.0
mean_doc_dt_epi_g,2021,-531838,531057,2349,339,80885,-531.8,531.1,2.3,0.3,80.9
mean_doc_epi_outflow_g,2021,1896,31290,3953,5831,5440,1.9,31.3,4.0,5.8,5.4
mean_doc_epi_process_g,2021,-51999,90456,3676,3681,25202,-52.0,90.5,3.7,3.7,25.2
mean_doc_epi_process_mgL,2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
mean_doc_hypo_process_g,2021,-60558,40679,-307,632,9359,-60.6,40.7,-0.3,0.6,9.4
mean_doc_hypo_process_mgL,2021,-2,0,0,0,0,0.0,0.0,0.0,0.0,0.0
