"","datetime","thermo.depth"
"164",2016-03-30,7.25
"165",2016-04-04,4.79856666029965
"166",2016-04-06,5.19347408184894
"167",2016-04-11,6.27178434517489
"168",2016-04-18,4.76965015879506
"169",2016-04-20,6.21021779377934
"170",2016-04-25,5.75
"171",2016-05-02,5.28912214765274
"172",2016-05-04,4.94543790569969
"173",2016-05-09,4.79769613716241
"174",2016-05-12,4.23938061988471
"175",2016-05-16,5.02831423442503
"176",2016-05-19,3.95941153239135
"177",2016-05-23,4.43882328313811
"178",2016-05-26,4.32782019080389
"179",2016-05-29,3.48545838827064
"180",2016-05-30,5.74610112176519
"181",2016-05-31,5.22496399372255
"182",2016-06-01,6.10152311589787
"183",2016-06-02,5.71166114950415
"184",2016-06-03,5.67823080244247
"185",2016-06-06,5.62877123228237
"186",2016-06-07,4.90136811939591
"187",2016-06-08,5.54150690108397
"188",2016-06-09,5.51854164832921
"189",2016-06-13,5.06576480809204
"190",2016-06-20,5.57102573183643
"191",2016-06-23,4.6252750422586
"192",2016-06-26,4.65110893503717
"193",2016-06-27,7.32963205783461
"194",2016-06-28,7.17646473933601
"195",2016-06-30,6.00459890688481
"196",2016-07-05,5.71750271396039
"197",2016-07-07,5.6442621205102
"198",2016-07-11,5.63177599151249
"199",2016-07-14,5.53931516242866
"200",2016-07-18,5.60234958354962
"201",2016-07-21,4.79890400244484
"202",2016-07-24,5.16792432931951
"203",2016-07-25,3.82875364038337
"204",2016-07-26,5.74741192366513
"205",2016-07-27,7.25
"206",2016-07-28,6.14311718408074
"207",2016-08-01,6.22561168976494
"208",2016-08-08,5.95437536508265
"209",2016-08-11,5.93821544587022
"210",2016-08-15,6.14861181639067
"211",2016-08-18,5.8535459124164
"212",2016-08-23,5.51901847792684
"213",2016-08-26,5.6293467931697
"214",2016-09-02,5.31505641474862
"215",2016-09-06,5.30745681289097
"216",2016-09-09,5.56740513095855
"217",2016-09-16,5.15038320812318
"218",2016-09-17,4.92289880200218
"219",2016-09-20,5.75
"220",2016-09-27,4.97831572957037
"221",2016-09-30,5.67377724505557
"222",2016-10-05,8.12042076289694
"223",2016-10-06,7.75553083151716
"224",2016-10-07,0.751704076093547
"225",2016-10-11,NA
"226",2016-10-14,NA
"227",2016-11-04,3.22563220957436
"228",2016-11-11,NA
"229",2016-12-02,NA
"230",2017-02-06,NA
"231",2017-02-27,3.25
"232",2017-03-12,NA
"233",2017-03-13,7.25
"234",2017-03-26,2.77580079677613
"235",2017-03-27,7.25
"236",2017-04-09,5.68672153093336
"237",2017-04-10,5.75
"238",2017-04-16,4.19467736877657
"239",2017-04-17,5.75
"240",2017-04-23,3.73742126189428
"241",2017-04-24,NA
"242",2017-04-30,0.955398571580875
"243",2017-05-01,4.25
"244",2017-05-04,2.62212336266948
"245",2017-05-07,3.1429117192201
"246",2017-05-08,4.25
"247",2017-05-09,3.38914609121319
"248",2017-05-14,3.02959471634813
"249",2017-05-15,4.25
"250",2017-05-18,4.30446426725462
"251",2017-05-22,4.25
"252",2017-05-25,5.75
"253",2017-05-29,0.3
"254",2017-05-30,6.28953097691656
"255",2017-06-01,6.75
"256",2017-06-05,7.25
"257",2017-06-08,5.75
"258",2017-06-12,5.75
"259",2017-06-19,5.75
"260",2017-06-26,5.75
"261",2017-06-28,4.21809666902678
"262",2017-07-04,2.3174924214464
"263",2017-07-05,5.75
"264",2017-07-09,3.73516590883175
"265",2017-07-10,5.14924272338947
"266",2017-07-11,5.66341140532255
"267",2017-07-12,5.36442193672232
"268",2017-07-13,7.25
"269",2017-07-17,5.75
"270",2017-07-24,5.75
"271",2017-07-31,5.75
"272",2017-08-02,NA
"273",2017-08-06,4.65521610065361
"274",2017-08-07,5.75
"275",2017-08-09,4.66408218252578
"276",2017-08-13,4.15713713090013
"277",2017-08-14,5.75
"278",2017-08-16,3.81426894319507
"279",2017-08-20,4.29758396169612
"280",2017-08-21,5.75
"281",2017-08-27,3.8937224061439
"282",2017-08-28,5.75
"283",2017-09-03,4.54111584216274
"284",2017-09-04,5.75
"285",2017-09-10,4.71829666202357
"286",2017-09-11,5.75
"287",2017-09-17,2.13721269625867
"288",2017-09-18,4.77233682130684
"289",2017-09-24,4.69637241979636
"290",2017-09-25,5.75
"291",2017-10-02,7.25
"292",2017-10-09,5.75
"293",2017-10-15,4.76572257007352
"294",2017-10-16,4.75005190603515
"295",2017-10-23,8.16831208925814
"296",2017-10-30,3.25
"297",2017-11-06,0.3
"298",2017-11-07,NA
"299",2017-12-10,NA
"300",2017-12-11,NA
"301",2018-01-15,NA
"302",2018-02-19,0.3
"303",2018-03-19,0.777777777777778
"304",2018-04-04,3.25
"305",2018-04-10,4.25
"306",2018-04-17,NA
"307",2018-04-20,3.21793127601932
"308",2018-04-23,3.55359510459988
"309",2018-04-30,3.74054890665645
"310",2018-05-04,3.58580828770254
"311",2018-05-07,3.27643750728972
"312",2018-05-11,3.33946680802083
"313",2018-05-14,3.12488585275633
"314",2018-05-17,3.1541739095564
"315",2018-05-21,4.25
"316",2018-05-28,3.20795989587989
"317",2018-05-30,3.57732167810457
"318",2018-05-31,3.59702669866278
"319",2018-06-04,2.76269184773164
"320",2018-06-07,3.43978861456214
"321",2018-06-11,1.68532623392887
"322",2018-06-14,3.32476099401203
"323",2018-06-18,3.65223445750219
"324",2018-06-21,2.6643734964067
"325",2018-06-25,2.15833234177584
"326",2018-06-28,2.13920732094453
"327",2018-07-02,2.28995366499763
"328",2018-07-05,2.33912884507532
"329",2018-07-09,2.23297884841322
"330",2018-07-16,2.23410818463637
"331",2018-07-19,2.26342075071209
"332",2018-07-23,2.46870020099273
"333",2018-07-26,3.24123559110567
"334",2018-07-30,4.25
"335",2018-08-02,2.69615730275146
"336",2018-08-06,2.81145541417528
"337",2018-08-09,3.09441925094336
"338",2018-08-10,2.33315976454208
"339",2018-08-13,5.75
"340",2018-08-14,3.08599746810379
"341",2018-08-16,2.86638879751808
"342",2018-08-20,2.76712412970168
"343",2018-08-24,3.27719188887217
"344",2018-08-27,3.31916314286117
"345",2018-09-03,4.02564108419868
"346",2018-09-07,2.98421122407664
"347",2018-09-10,3.96024468407029
"348",2018-09-12,3.68256099485338
"349",2018-09-17,6.10829642941277
"350",2018-09-21,5.74074417474827
"351",2018-09-24,4.85827719062782
"352",2018-10-01,5.36546304566063
"353",2018-10-05,7.82343160879379
"354",2018-10-08,5.41301138992128
"355",2018-10-15,6.31945396288479
"356",2018-10-19,7.30529187055736
"357",2018-10-21,8.75
"358",2018-10-22,8.75
"359",2018-10-29,NA
"360",2018-11-02,2.14743089406306
"361",2018-11-07,0.817816393208281
"362",2018-11-13,NA
"363",2018-11-19,NA
"364",2018-12-06,NA
"365",2018-12-17,NA
